,,Type,Normalised Value,flag
Fe3O4Nanocrystallines,606,Curie,853.0,False
Bi2CuMnO6,607,Curie,340.0,False
Ni3TeO6,608,Néel,52.0,False
CoAl2O4,609,Néel,5.0,False
NaFeO2,610,Néel,723.0,False
CoO,611,Néel,310.8888888888889,False
LaMn2O5,612,Néel,200.0,False
TmAsO4,613,Curie,6.0,False
Ho2GeO5,614,Curie,8.0,False
TbMn2O5,615,Curie,34.666666666666664,False
CaBaFe4O7,616,Curie,165.0,False
NdSrMnO,617,Curie,213.66666666666666,False
BaSm2O4,618,Néel,264.5,False
Bi2WO6,619,Curie,1129.6666666666667,False
Ba2CaOsO6,620,Néel,51.0,False
SrBiMnTiO6,621,Curie,25.0,False
REOs,622,Néel,640.0,False
Sr2LnRuO6,623,Néel,34.0,False
LuMnO3,624,Néel,85.0,False
NaSr2Nb5O15lead,625,Curie,543.0,False
MnNiO,626,Curie,140.0,False
La2LiOsO6,627,Néel,39.0,False
SrBi2Nb2O9,628,Curie,737.1666666666666,False
Sr2CoO4,629,Curie,247.5,False
CaCuMn6O12,630,Curie,2.0,False
Ca3Fe2Si3O12,631,Néel,11.0,False
CeOs3B2,632,Curie,3.0,False
Fe2O3,633,Néel,932.0,False
Sr3Fe2O,634,Néel,120.0,False
TmVO4,635,Curie,2.0,False
LaxMnO3,636,Curie,260.0,False
LiMn3Fe2O8,637,Curie,275.0,False
Co2O3,638,Curie,1157.75,False
AgCa2Co2V3O12,639,Néel,6.25,False
LaAlO,640,Curie,200.0,False
Bi5Ti3FeO9,641,Curie,1073.0,False
GdSr2RuCu2O8,642,Curie,24.0,False
Sr4Sc2O6Fe2P2,643,Curie,17.0,False
Na2RuO4,644,Néel,35.0,False
Li3Ni2SbO6,645,Néel,15.0,False
GdCrO3,646,Néel,169.0,False
